Edition	Country	MedalCount
1964	DOM	0
1968	DOM	0
1972	DOM	0
1976	DOM	0
1980	DOM	0
1984	DOM	1
1988	DOM	0
1992	DOM	0
1996	DOM	0
2000	DOM	0
2004	DOM	1
2008	DOM	2
1896	ECU	0
1900	ECU	0
1904	ECU	0
1908	ECU	0
1912	ECU	0
1920	ECU	0
1924	ECU	0
1928	ECU	0
1932	ECU	0
1936	ECU	0
1948	ECU	0
1952	ECU	0
1956	ECU	0
1960	ECU	0
1964	ECU	0
1968	ECU	0
1972	ECU	0
1976	ECU	0
1980	ECU	0
1984	ECU	0
1988	ECU	0
1992	ECU	0
1996	ECU	1
2000	ECU	0
2004	ECU	0
2008	ECU	1
1896	EGY	0
1900	EGY	0
1904	EGY	0
1908	EGY	0
1912	EGY	0
1920	EGY	0
1924	EGY	0
1928	EGY	4
1932	EGY	0
1936	EGY	5
1948	EGY	5
1952	EGY	1
1956	EGY	0
1960	EGY	2
1964	EGY	0
1968	EGY	0
1972	EGY	0
1976	EGY	0
1980	EGY	0
1984	EGY	1
1988	EGY	0
1992	EGY	0
1996	EGY	0
2000	EGY	0
2004	EGY	5
2008	EGY	1
1896	ERI	0
1900	ERI	0
1904	ERI	0
1908	ERI	0
1912	ERI	0
1920	ERI	0
1924	ERI	0
1928	ERI	0
1932	ERI	0
1936	ERI	0
1948	ERI	0
1952	ERI	0
1956	ERI	0
1960	ERI	0
1964	ERI	0
1968	ERI	0
1972	ERI	0
1976	ERI	0
1980	ERI	0
1984	ERI	0
1988	ERI	0
1992	ERI	0
1996	ERI	0
2000	ERI	0
2004	ERI	1
2008	ERI	0
1896	ESP	0
1900	ESP	2
1904	ESP	0
1908	ESP	0
1912	ESP	0
1920	ESP	24
1924	ESP	0
1928	ESP	3
1932	ESP	1
1936	ESP	0
1948	ESP	3
1952	ESP	1
1956	ESP	0
1960	ESP	14
1964	ESP	0
1968	ESP	0
1972	ESP	1
1976	ESP	6
1980	ESP	24
1984	ESP	19
1988	ESP	5
1992	ESP	66
1996	ESP	67
2000	ESP	43
2004	ESP	27
2008	ESP	71
1896	EST	0
1900	EST	0
1904	EST	0
1908	EST	0
1912	EST	0
1920	EST	3
1924	EST	6
1928	EST	9
1932	EST	0
1936	EST	7
1948	EST	0
1952	EST	0
1956	EST	0
1960	EST	0
1964	EST	0
1968	EST	0
1972	EST	0
1976	EST	0
1980	EST	0
1984	EST	0
1988	EST	0
1992	EST	3
1996	EST	0
2000	EST	3
2004	EST	3
2008	EST	3
1896	ETH	0
1900	ETH	0
1904	ETH	0
1908	ETH	0
1912	ETH	0
1920	ETH	0
1924	ETH	0
1928	ETH	0
1932	ETH	0
1936	ETH	0
1948	ETH	0
1952	ETH	0
1956	ETH	0
1960	ETH	1
1964	ETH	1
1968	ETH	2
1972	ETH	2
1976	ETH	0
1980	ETH	4
1984	ETH	0
1988	ETH	0
1992	ETH	3
1996	ETH	3
2000	ETH	8
2004	ETH	7
2008	ETH	7
1896	EUA	0
1900	EUA	0
1904	EUA	0
1908	EUA	0
1912	EUA	0
1920	EUA	0
1924	EUA	0
1928	EUA	0
1932	EUA	0
1936	EUA	0
1948	EUA	0
1952	EUA	0
1956	EUA	57
1960	EUA	88
1964	EUA	115
1968	EUA	0
1972	EUA	0
1976	EUA	0
1980	EUA	0
1984	EUA	0
1988	EUA	0
1992	EUA	0
1996	EUA	0
2000	EUA	0
2004	EUA	0
2008	EUA	0
1896	EUN	0
1900	EUN	0
1904	EUN	0
1908	EUN	0
1912	EUN	0
1920	EUN	0
1924	EUN	0
1928	EUN	0
1932	EUN	0
1936	EUN	0
1948	EUN	0
1952	EUN	0
1956	EUN	0
1960	EUN	0
1964	EUN	0
1968	EUN	0
1972	EUN	0
1976	EUN	0
1980	EUN	0
1984	EUN	0
1988	EUN	0
1992	EUN	223
1996	EUN	0
2000	EUN	0
2004	EUN	0
2008	EUN	0
1896	FIN	0
1900	FIN	0
1904	FIN	0
1908	FIN	29
1912	FIN	67
1920	FIN	49
1924	FIN	52
1928	FIN	25
1932	FIN	29
1936	FIN	26
1948	FIN	29
1952	FIN	40
1956	FIN	26
1960	FIN	6
1964	FIN	5
1968	FIN	4
1972	FIN	10
1976	FIN	6
1980	FIN	9
1984	FIN	12
1988	FIN	4
1992	FIN	7
1996	FIN	4
2000	FIN	5
2004	FIN	2
2008	FIN	5
1896	FRA	11
